,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Double Kettlebell Overhead Alternating Shin Box to Hip Extension,Advanced,Glutes,Kettlebell,Shin Box Seated,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Turkish Get Up,Expert,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Kettlebell Staggered Stance Rotational Swing,Intermediate,Abdominals,Kettlebell,Staggered Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Curtsy Lunge,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Alternating Curtsy Lunge Pass Through,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Walking Lunge Pass Through,Intermediate,Quadriceps,Kettlebell,Walking,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Overhead Press,Beginner,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Suitcase Carry,Beginner,Forearms,Kettlebell,Walking,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Carry,Beginner,Forearms,Kettlebell,Walking,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Dumbbell Suitcase Carry,Beginner,Forearms,Dumbbell,Walking,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Glute Bridge Bench Press,Novice,Chest,Dumbbell,Bridge,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Glute Bridge Bench Press,Intermediate,Chest,Kettlebell,Bridge,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Single Leg Glute Bridge Bench Press,Advanced,Chest,Kettlebell,Single Leg Bridge,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Bodyweight Foot Elevated Cossack Squat,Beginner,Quadriceps,Bodyweight,Foot Elevated Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Kettlebell Goblet Foot Elevated Cossack Squat,Novice,Quadriceps,Kettlebell,Foot Elevated Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Barbell Overhead Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,Foot Elevated Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Landmine Half Knee Hover Oblique Twist,Advanced,Abdominals,Landmine,Half Knee Hover,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Knee Hover Quadruped Pull Through,Intermediate,Abdominals,Kettlebell,Knee Hover Quadruped,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Barbell Back Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,Foot Elevated Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Barbell,Foot Elevated Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Cable Seated Floor V Grip Lat Pulldown,Beginner,Back,Cable,Seated Floor,,,,,Compound
,Barbell Overhead Low Switch Cossack Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell High Pull,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Suitcase Deficit Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Single Leg Supported,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Front Rack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Thruster,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Suitcase Knee Over Toes Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Sumo Deadlift to Push Up,Intermediate,Back,Kettlebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Alternating Single Arm Kettlebell Clean to Thruster,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Neutral,Combo Exercise,Compound
,Battle Rope Half Knee Hover Alternating Side Slam,Advanced,Abdominals,Battle Ropes,Half Knee Hover,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Superband Standing Adduction,Novice,Adductors,Superband,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Superband Lateral Adduction Steps,Novice,Adductors,Superband,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Copenhagen Plank Side Raise,Advanced,Adductors,Kettlebell,Side Plank,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Single Leg Balance Transfer,Intermediate,Abdominals,Kettlebell,Single Leg Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Bosu Ball Single Arm Kettlebell Single Leg Balance Transfer,Advanced,Abdominals,Bosu Ball,Single Leg Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Foot Elevated Knee Over Toes Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Suitcase Contralateral Knee Over Toes Split Squat,Novice,Quadriceps,Kettlebell,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Alternating Cossack Squat,Beginner,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Battle Rope Single Leg Balance Alternating Wave,Advanced,Biceps,Battle Ropes,Single Leg Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Battle Rope Alternating Wave,Beginner,Biceps,Battle Ropes,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Battle Rope Half Knee Hover Alternating Wave,Advanced,Biceps,Battle Ropes,Half Knee Hover,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Superband Assisted Dips,Intermediate,Chest,Superband,,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Tall Kneeling Face Pull,Novice,Shoulders,Cable,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Split Squat,Beginner,Quadriceps,Suspension Trainer,Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Suitcase Deadlift,Beginner,Back,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Cyclist Squat,Beginner,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Cable Rope Tall Kneeling Tricep Pushdown,Beginner,Triceps,Cable,Tall Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Cable Rope Staggered Stance Tricep Pushdown,Beginner,Triceps,Cable,Staggered Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Suspension Single Arm Contralateral Skater Squat,Intermediate,Quadriceps,Suspension Trainer,Single Leg Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Bottoms Up Clean,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Alternating Single Arm Kettlebell Feet Elevated Plank Pull Through,Intermediate,Abdominals,Kettlebell,Prone,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Clean to Alternating Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Combo Exercise,Compound
,Double Kettlebell Clean to Alternating Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Combo Exercise,Compound
,Bodyweight Cyclist Squat,Beginner,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Alternating Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Alternating Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Clean to Split Jerk,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Split Jerk,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Single Arm Kettlebell Clean to Split Jerk,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Alternating Single Arm Kettlebell Clean to Split Jerk,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Pronated,Combo Exercise,Compound
,Single Arm Kettlebell Bottoms Up Clean to Split Jerk,Advanced,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Alternating Single Arm Kettlebell Bottoms Up Clean to Split Jerk,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Split Jerk,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Split Jerk,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Alternating Single Arm Kettlebell Bottoms Up Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Clean,Intermediate,Glutes,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Slider Single Leg Hamstring Curl,Advanced,Hamstrings,Sliders,Supine,No Arms,Continuous,No Grip,Single Exercise,Isolation
,Alternating Single Arm Kettlebell Bottoms Up Clean to Thruster,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Single Arm Suspension Cyclist Squat,Beginner,Quadriceps,Suspension Trainer,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Bottoms Up Clean to Front Rack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Single Arm Kettlebell Split Squat Thruster,Intermediate,Shoulders,Kettlebell,Split Stance Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Low Bar Pause Back Squat,Intermediate,Glutes,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Pause Front Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell High Bar Pause Back Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Pause Squat,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Hanging Knees to Wrists,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Suspension Adductor Slide,Beginner,Adductors,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Sumo Deadlift,Novice,Glutes,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Dumbbell Goblet Cyclist Squat,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Barbell Front Rack Adductor Slide,Intermediate,Adductors,Sliders,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Back Rack Adductor Slide,Intermediate,Adductors,Sliders,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Alternating Cossack Squat,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Press to Alternating Reverse Lunge,Intermediate,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Miniband Side Plank Hip Abduction,Intermediate,Abductors,Miniband,Side Plank,Single Arm,Continuous,No Grip,Single Exercise,Compound
,Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Suitcase March,Novice,Abdominals,Kettlebell,March,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Overhead March,Intermediate,Abdominals,Kettlebell,March,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Front Rack March,Intermediate,Abdominals,Kettlebell,March,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Parallette Close Grip Single Leg Push Up,Advanced,Triceps,Parallette Bars,Prone,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Half Snatch,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Half Snatch,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Half Snatch,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Half Snatch to Thruster,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Alternating Single Arm Kettlebell Half Snatch to Thruster,Advanced,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Pronated,Combo Exercise,Compound
,Single Arm Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Kettlebell Goblet Horse Stance Squat,Novice,Quadriceps,Kettlebell,Horse Stance Standing,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Suspension Alternating Curtsy Lunge,Novice,Quadriceps,Suspension Trainer,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Alternating Forward Lunge Snatch,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Overhead Alternating Forward Lunge,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Macebell 360,Intermediate,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Macebell 360,Intermediate,Shoulders,Macebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Macebell 10 to 2 ,Intermediate,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Macebell Barbarian Squat,Novice,Quadriceps,Macebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Macebell Barbarian Squat,Intermediate,Quadriceps,Macebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Macebell Ballistic Curl,Novice,Biceps,Macebell,Standing,Double Arm,Alternating,Mixed Grip,Single Exercise,Compound
,Macebell Single Leg Standing Ballistic Curl,Intermediate,Biceps,Macebell,Single Leg Standing,Double Arm,Alternating,Mixed Grip,Single Exercise,Compound
,Macebell Half Knee Hover Low to High Chop,Advanced,Abdominals,Macebell,Half Knee Hover,Double Arm,Continuous,Mixed Grip,Single Exercise,Compound
,Single Arm Macebell Single Leg Standing Bent Knee 360,Advanced,Shoulders,Macebell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Indian Club Outer Heart Shaped Swing,Intermediate,Shoulders,Indian Club,Standing,Double Arm,Continuous,Neutral,Single Exercise,
,Single Arm Indian Club Outer Heart Shaped Swing,Novice,Shoulders,Indian Club,Standing,Single Arm,Continuous,Neutral,Single Exercise,
,Macebell Front Swing to 360,Advanced,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Macebell Alternating Front Swing to 360,Advanced,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Clubbell Swing to Gamma Cast,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Macebell Alternating 360,Intermediate,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Macebell Bulgarian Split Squat to Alternating 360,Advanced,Quadriceps,Macebell,Single Leg Supported,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Landmine Single Leg Standing Bent Knee Ipsilateral Shoulder Press,Advanced,Shoulders,Landmine,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Landmine Single Leg Standing Bent Knee Contralateral Shoulder Press,Advanced,Shoulders,Landmine,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Landmine Single Leg Standing Bent Knee Shoulder Press,Advanced,Shoulders,Landmine,Single Leg Standing Bent Knee,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Double Kettlebell Feet Elevated Renegade Row,Advanced,Back,Kettlebell,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Double Kettlebell Feet Elevated Renegade Row Push Up,Advanced,Back,Kettlebell,Prone,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Macebell Alternating 360 to Lateral Uppercut,Advanced,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Macebell Alternating 360 to Alternating Lateral Lunge Front Press,Advanced,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Clubbell Shield Cast,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Shield Cast,Intermediate,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Double Clubbell Shield Cast,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Clubbell Inside Circle,Intermediate,Abdominals,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Double Clubbell Inside Circles,Intermediate,Abdominals,Clubbell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Clubbell Inside Circle,Intermediate,Abdominals,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Alternating Inside Circle,Intermediate,Abdominals,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Side Shoulder Cast,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Side Shoulder Cast to Side Flag Press,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Double Clubbell Swipe to Alternating Reverse Lunge Side Shoulder Cast to Side Flag Press,Advanced,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Trio Exercise,Compound
,Clubbell Swing to Alternating Side Shoulder Park Squat,Intermediate,Glutes,Clubbell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Double Clubbell Single Leg Standing Bent Knee Side Shoulder Cast to Side Flag Press,Advanced,Shoulders,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Clubbell Clean to Barbarian Squat,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,
,Clubbell Mill,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Inside Pendulum,Intermediate,Abdominals,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Half Kneeling Shield Cast,Intermediate,Shoulders,Clubbell,Half Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Half Knee Hover Shield Cast,Advanced,Shoulders,Clubbell,Half Knee Hover,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Single Leg Standing Bent Knee Shield Cast,Advanced,Shoulders,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Iron Cross,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Half Kneeling Iron Cross,Intermediate,Shoulders,Clubbell,Half Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Half Knee Hover Iron Cross,Advanced,Shoulders,Clubbell,Half Knee Hover,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Single Leg Standing Bent Knee Iron Cross,Advanced,Shoulders,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Half Snatch to Overhead Press,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Half Snatch to Front Rack Squat,Advanced,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Clubbell Alternating Inside Circles,Intermediate,Abdominals,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Alternating Reverse Lunge Front Flag Press,Intermediate,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Gamma Cast,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Half Kneeling Gamma Cast,Intermediate,Shoulders,Clubbell,Half Kneeling,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Half Knee Hover Gamma Cast,Advanced,Shoulders,Clubbell,Half Knee Hover,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Single Leg Standing Bent Knee Gamma Cast,Advanced,Shoulders,Clubbell,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Pullover,Novice,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Pullover,Novice,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Pullover,Novice,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Side Swing,Intermediate,Abdominals,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Side Swing,Intermediate,Abdominals,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Inside Pendulum,Intermediate,Abdominals,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Swipe,Intermediate,Glutes,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Swipe,Intermediate,Glutes,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Crossbody Swipe,Intermediate,Abdominals,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Macebell Alternating 360 to Front Flag Press,Advanced,Shoulders,Macebell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Clubbell Inside Circle to Shield Cast,Advanced,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Clubbell Barbarian Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Inside Circle to Outside Circle,Intermediate,Abdominals,Clubbell,Standing,Single Arm,Continuous,Neutral,Combo Exercise,Compound
,Clubbell Side to Side Swing,Intermediate,Abdominals,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Barbarian Squat,Novice,Quadriceps,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Clubbell Inside Circle,Advanced,Abdominals,Clubbell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Single Arm Clubbell Side to Side Swing,Intermediate,Abdominals,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Clubbell Side to Side Swing,Advanced,Abdominals,Clubbell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Clubbell Alternating Pendulum to Gamma Cast,Advanced,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Single Arm Clubbell Single Leg Standing Bent Knee Contralateral Shield Cast,Advanced,Shoulders,Clubbell,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Double Clubbell Side Flag Press,Intermediate,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Clubbell Front Flag Press,Novice,Shoulders,Clubbell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Clubbell Inside Circle to Front Flag Press,Intermediate,Shoulders,Clubbell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Overhead Adductor Slide,Advanced,Adductors,Sliders,Standing,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Clubbell Order Bulgarian Split Squat,Intermediate,Quadriceps,Clubbell,Single Leg Supported,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Hang Squat Clean,Advanced,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Single Leg Standing Hip Flexion,Intermediate,Hip Flexors,Kettlebell,Single Leg Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Miniband Supine Alternating Hip Flexion,Beginner,Hip Flexors,Miniband,Supine,No Arms,Continuous,No Grip,Single Exercise,Compound
,Double Indian Club Inner Heart Shaped Swing,Intermediate,Shoulders,Indian Club,Standing,Double Arm,Continuous,Neutral,Single Exercise,
